City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Salalah,OM,2021-03-28 23:02:13,17.0151,54.0924,77.0,53,0,3.44
177,Mahebourg,MU,2021-03-28 23:02:13,-20.4081,57.7,75.2,88,20,6.91
178,Tuy Hoa,VN,2021-03-28 23:01:34,13.0833,109.3,71.94,91,99,3.76
179,Antsohihy,MG,2021-03-28 23:02:13,-14.8796,47.9875,74.05,96,54,0.98
180,Kindu,CD,2021-03-28 23:02:14,-2.95,25.95,72.21,84,63,2.08
181,Horni Jiretin,CZ,2021-03-28 23:02:15,50.5731,13.5472,46.0,66,100,14.0
182,Ponta Do Sol,PT,2021-03-28 23:02:15,32.6667,-17.1,61.0,58,74,3.0
183,Nanning,CN,2021-03-28 23:02:15,22.8167,108.3167,73.4,88,75,2.24
184,Librazhd,AL,2021-03-28 23:02:16,41.1794,20.315,44.6,93,30,3.44
185,Sao Filipe,CV,2021-03-28 23:02:16,14.8961,-24.4956,69.96,73,58,16.82
186,Beringovskiy,RU,2021-03-28 23:02:16,63.05,179.3167,14.72,92,100,17.87
187,Castro,BR,2021-03-28 22:58:29,-24.7911,-50.0119,65.52,89,100,4.36
188,Dublin,US,2021-03-28 22:58:10,37.7021,-121.9358,80.01,15,1,3.44
189,Evensk,RU,2021-03-28 23:02:16,61.95,159.2333,-0.69,91,93,1.92
190,Vankleek Hill,CA,2021-03-28 23:02:17,45.5168,-74.6493,51.8,93,100,6.91
191,Thinadhoo,MV,2021-03-28 23:02:17,0.5333,72.9333,75.88,96,100,36.08
192,Alta Floresta,BR,2021-03-28 23:02:17,-9.8756,-56.0861,72.82,93,62,2.06
193,Richards Bay,ZA,2021-03-28 23:02:18,-28.783,32.0377,66.99,78,81,3.74
194,Sokol,RU,2021-03-28 23:02:18,59.4617,40.1206,23.76,97,25,3.67
195,Birjand,IR,2021-03-28 23:02:18,32.8663,59.2211,46.4,29,0,4.61
196,Bonthe,SL,2021-03-28 23:02:19,7.5264,-12.505,78.93,87,55,4.94
197,Bahia Honda,CU,2021-03-28 23:02:19,22.9036,-83.1592,81.36,66,9,10.67
198,Toamasina,MG,2021-03-28 23:02:19,-18.1667,49.3833,75.2,88,40,2.3
199,Dudinka,RU,2021-03-28 23:02:19,69.4058,86.1778,-11.43,98,72,10.42
200,Morrope,PE,2021-03-28 23:02:20,-6.5417,-80.0111,77.0,65,0,18.41
201,Swellendam,ZA,2021-03-28 23:02:20,-34.0226,20.4417,60.8,88,100,11.5
202,Luderitz,NA,2021-03-28 23:02:20,-26.6481,15.1594,61.84,83,0,3.67
203,Serenje,ZM,2021-03-28 23:02:21,-13.2325,30.2352,61.3,95,100,8.16
204,Qostanay,KZ,2021-03-28 23:02:21,53.1667,63.5833,17.6,79,0,17.9
205,San Juan Bautista,PE,2021-03-28 23:02:21,-14.0108,-75.7358,73.4,68,0,21.85
206,Beloha,MG,2021-03-28 23:02:22,-25.1667,45.05,69.42,89,8,3.47
207,Tagusao,PH,2021-03-28 23:02:22,9.1924,117.8141,80.58,79,69,7.07
208,Hami,CN,2021-03-28 23:02:22,42.8,93.45,57.87,24,85,8.14
209,Lata,PT,2021-03-28 23:02:23,40.1629,-8.3327,57.2,62,0,3.67
210,Kahului,US,2021-03-28 23:02:23,20.8947,-156.47,78.8,57,40,21.85
211,Effingham,US,2021-03-28 23:02:23,32.3669,-81.3332,82.4,94,90,15.84
212,Provideniya,RU,2021-03-28 23:02:24,64.3833,-173.3,15.12,88,100,21.7
213,Aktash,RU,2021-03-28 23:02:24,50.3,87.7333,11.95,91,93,3.94
214,Gairo,IT,2021-03-28 23:02:24,39.8497,9.5047,55.4,94,0,2.3
215,Caravelas,BR,2021-03-28 23:02:24,-17.7125,-39.2481,78.04,75,0,7.4
216,Acapulco,MX,2021-03-28 23:01:52,16.8634,-99.8901,86.0,62,1,9.22
217,Meiganga,CM,2021-03-28 23:02:25,6.5167,14.3,69.17,46,35,4.23
218,Nouadhibou,MR,2021-03-28 23:02:25,20.931,-17.0347,64.4,88,0,16.11
219,Komsomolskiy,UZ,2021-03-28 23:02:25,40.4272,71.7189,50.0,71,75,23.02
220,Lakes Entrance,AU,2021-03-28 23:02:26,-37.8811,147.981,60.01,75,64,3.0
221,Severo-Kurilsk,RU,2021-03-28 23:02:26,50.6789,156.125,29.64,70,6,7.9
222,Khangah Dogran,PK,2021-03-28 23:02:26,31.8317,73.6231,70.56,28,19,8.75
223,Tura,IN,2021-03-28 23:02:26,25.5198,90.2201,71.87,23,0,5.28
224,Berbera,SO,2021-03-28 23:02:27,10.4396,45.0143,77.47,77,18,3.13
225,Broken Hill,AU,2021-03-28 23:02:27,-31.95,141.4333,60.8,55,2,11.5
226,Pacific Grove,US,2021-03-28 23:02:27,36.6177,-121.9166,68.0,59,1,6.91
227,Kristinehamn,SE,2021-03-28 23:02:28,59.3098,14.1081,42.8,100,75,9.22
228,West Freehold,US,2021-03-28 23:02:28,40.2421,-74.3013,68.0,88,90,5.75
229,Longyearbyen,SJ,2021-03-28 23:02:28,78.2186,15.6401,26.6,80,20,11.5
230,Yarada,IN,2021-03-28 23:02:28,17.65,83.2667,79.75,83,3,7.49
231,Moron,AR,2021-03-28 23:02:29,-34.6534,-58.6198,71.6,73,40,4.61
232,Pevek,RU,2021-03-28 23:02:29,69.7008,170.3133,-13.18,96,70,3.22
233,Victoria,HK,2021-03-28 22:57:33,22.2855,114.1577,75.99,87,23,6.98
